	mac_name	address	address2	score	latitude	longitude
98	맥도날드 부산하단DT점	부산 사하구 낙동대로 431	(지번) 하단동 619-21	3.7	35.104116	128.9710367
99	맥도날드 김해삼정DT점	경남 김해시 김해대로 2471	(지번) 삼정동 616-3	2.4	35.2281649	128.8971044
100	맥도날드 울산일산DT점	울산 동구 방어진순환도로 634	(지번) 일산동 951-5	2.3	35.51115189999999	129.4234794
101	맥도날드 양산덕계DT점	경남 양산시 웅상대로 910	(지번) 평산동 16-6	2.2	35.3807367	129.1553337
102	맥도날드 부산사직DT	부산 동래구 아시아드대로 110	(지번) 사직동 105-11	3.0	35.2008625	129.0671004
103	맥도날드 범일SK DT점	부산 동구 자성로 127	(지번) 범일동 828-8	2.9	35.1344872	129.0586887
104	맥도날드 부산기장DT	부산 기장군 기장읍 기장대로 500	(지번) 기장읍 청강리 112-1	3.0	35.2395851	129.22047959999998
105	맥도날드 해운대DT점	부산 해운대구 해운대로570번길 51	(지번) 우동 626-13	2.3	35.1596667	129.1588889
106	맥도날드 부산남천DT점	부산 수영구 수영로 470	(지번) 남천동 30-5	2.3	35.1478463	129.110725
107	맥도날드 통영죽림DT점	경남 통영시 광도면 죽림4로 36	(지번) 광도면 죽림리 1569-1	2.3	34.8854748	128.4180781
108	맥도날드 부산영도DT점	부산 영도구 태종로 150	(지번) 봉래동3가 82-2	4.3	35.0854652	129.06038519999998
109	맥도날드 부산황령DT점	부산 남구 황령대로 374	(지번) 대연동 201	4.0	35.144868599999995	129.09781759999998
110	맥도날드 초읍DT점	부산 부산진구 성지로 152	(지번) 초읍동 171-6	3.3	35.1821125	129.0480925
111	맥도날드 부산송정DT점	부산 해운대구 해운대로 1114	(지번) 송정동 135-2	4.0	35.183741600000005	129.2014829
112	맥도날드 부산동명대DT점	부산 남구 신선로 424	(지번) 용당동 524	2.3	35.11588560000001	129.0908752
113	맥도날드 옥포SK DT점	경남 거제시 거제대로 3714	(지번) 옥포동 551-1	2.8	34.87535689999999	128.6898688
114	맥도날드 제주시청DT점	제주특별자치도 제주시 중앙로 277	(지번) 이도이동 1057-2	3.0	33.4814679	126.54114579999998
115	맥도날드 제주공항DT점	제주특별자치도 제주시 도령로 159	(지번) 용담이동 1787-2	3.4	33.4951553	126.4926946
116	맥도날드 제주일도DT	제주특별자치도 제주시 동광로 134	(지번) 일도이동 369-11	3.1	33.5064332	126.5384595
117	맥도날드 제주서귀포DT점	제주특별자치도 서귀포시 일주동로 8665	(지번) 서귀동 284-29	2.5	33.2532159	126.5627164
118	맥도날드 제주월드컵스타디움DT점	제주특별자치도 서귀포시 일주서로 7	(지번) 강정동 231-1	2.3	33.2584326	126.4353135
119	맥도날드 부산엄궁DT점	부산 사상구 낙동대로 745	(지번) 엄궁동 367-3	4.2	35.1280145	128.9690623
