	mac_name	address	address2	score	link
139	스타벅스 익산영등DT점	전북 익산시 무왕로 1005	(지번) 영등동 340-11	3.4	https://place.map.kakao.com/352873182#review
140	스타벅스 군산나운DT점	전북 군산시 하나운안2길 4	(지번) 나운동 843-6	1.0	https://place.map.kakao.com/1400674549#review
141	스타벅스 전주덕진광장DT점	전북 전주시 덕진구 기린대로 491	(지번) 덕진동1가 1275-22	3.9	https://place.map.kakao.com/1641572994#review
142	스타벅스 전주백제대로DT점	전북 전주시 완산구 백제대로 242	(지번) 중화산동2가 648	4.3	https://place.map.kakao.com/2019620609#review
143	스타벅스 전주송천DT점	전북 전주시 덕진구 송천중앙로 228	(지번) 송천동2가 488	5.0	https://place.map.kakao.com/1891298436#review
144	스타벅스 동해DT점	강원 동해시 중앙로 219	(지번) 천곡동 1020	4.6	https://place.map.kakao.com/1121074224#review
145	스타벅스 전주효자DT	전북 전주시 완산구 용머리로 7	(지번) 효자동1가 410-6	2.4	https://place.map.kakao.com/27162034#review
146	스타벅스 강릉송정DT점	강원 강릉시 경강로 2400	(지번) 송정동 545-2	4.6	https://place.map.kakao.com/1280175321#review
147	스타벅스 전주평화DT점	전북 전주시 완산구 모악로 4696	(지번) 평화동2가 300-1	3.4	https://place.map.kakao.com/1992648915#review
148	스타벅스 김천시청DT점	경북 김천시 시청로 47	(지번) 신음동 1000-3	4.6	https://place.map.kakao.com/27487413#review
149	스타벅스 구미금오산DT점	경북 구미시 금오산로 205	(지번) 남통동 414-4	3.8	https://place.map.kakao.com/22728312#review
150	스타벅스 전북대병원DT점	전북 전주시 덕진구 백제대로 616	(지번) 금암동 1552-19	0.0	https://place.map.kakao.com/1515973174#review
151	스타벅스 전북정읍DT점	전북 정읍시 충정로 271	(지번) 수성동 449-1	4.8	https://place.map.kakao.com/1670180471#review
152	스타벅스 구미시청DT점	경북 구미시 송정대로 27	(지번) 송정동 33-11	4.5	https://place.map.kakao.com/27075899#review
153	스타벅스 대구중동DT점	대구 수성구 수성로 243	(지번) 중동 316-3	3.8	https://place.map.kakao.com/807104065#review
154	스타벅스 대구칠곡대로DT점	대구 북구 칠곡중앙대로 348-1	(지번) 태전동 1049-2	3.6	https://place.map.kakao.com/1281159051#review
155	스타벅스 대구칠성DT점	대구 북구 중앙대로 524	(지번) 칠성동2가 371-5	5.0	https://place.map.kakao.com/199151993#review
156	스타벅스 동대구로DT	대구 동구 동대구로 422	(지번) 신천동 300-2	4.0	https://place.map.kakao.com/27446975#review
157	스타벅스 대구공평DT점	대구 중구 국채보상로 642	(지번) 동인동2가 25-16	3.2	https://place.map.kakao.com/26262744#review
158	스타벅스 대구수성네거리DT점	대구 수성구 들안로 342	(지번) 수성동4가 1021-8	5.0	https://place.map.kakao.com/752045976#review
159	스타벅스 대구두류DT점	대구 달서구 달구벌대로 1798	(지번) 두류동 135-15	5.0	https://place.map.kakao.com/26410061#review
160	스타벅스 대구성서IC DT점	대구 달서구 달구벌대로 1393	(지번) 용산동 410-12	4.6	https://place.map.kakao.com/27268423#review
161	스타벅스 구미상모DT점	경북 구미시 금오대로 439	(지번) 상모동 478-6	0.0	https://place.map.kakao.com/1029270880#review
162	스타벅스 대구감삼DT점	대구 달서구 와룡로 131 1층~3층	(지번) 감삼동 490-1	4.5	https://place.map.kakao.com/1064539958#review
163	스타벅스 대구평리DT점	대구 서구 서대구로 89	(지번) 평리동 1407-7	2.4	https://place.map.kakao.com/27337246#review
164	스타벅스 대구침산DT점	대구 북구 침산로 126	(지번) 침산동 245-1	4.3	https://place.map.kakao.com/24165705#review
165	스타벅스 대구만촌DT점	대구 수성구 달구벌대로 2636	(지번) 만촌동 853-3	3.8	https://place.map.kakao.com/22728332#review
166	스타벅스 경산중방DT점	경북 경산시 경안로 222	(지번) 중방동 847-6	2.3	https://place.map.kakao.com/188945251#review
167	스타벅스 구미도량DT점	경북 구미시 야은로 312	(지번) 도량동 315	3.5	https://place.map.kakao.com/87064730#review
168	스타벅스 대구중동네거리DT점	대구 수성구 청수로 51	(지번) 중동 184-4	4.0	https://place.map.kakao.com/1419733012#review
169	스타벅스 대구도원DT점	대구 달서구 상화로 314	(지번) 도원동 577	3.2	https://place.map.kakao.com/185495285#review
170	스타벅스 대구상동DT	대구 수성구 무학로 29	(지번) 상동 415-1	4.0	https://place.map.kakao.com/27337248#review
171	스타벅스 대구상인DT점	대구 달서구 월곡로 334	(지번) 상인동 54-3	4.4	https://place.map.kakao.com/26242156#review
172	스타벅스 대구황금DT	대구 수성구 청수로 164	(지번) 지산동 941	4.0	https://place.map.kakao.com/1211891343#review
173	스타벅스 광주수완DT점	광주 광산구 임방울대로 487	(지번) 수완동 670-12	3.8	https://place.map.kakao.com/1287576463#review
174	스타벅스 대구앞산DT점	대구 남구 현충로 30	(지번) 대명동 493-36	4.3	https://place.map.kakao.com/65419416#review
175	스타벅스 광주용두DT점	광주 북구 임방울대로 1016 1층, 2층	(지번) 신용동 542-45	5.0	https://place.map.kakao.com/26814680#review
176	스타벅스 광주방림DT	광주 남구 방림동 343-20		3.4	https://place.map.kakao.com/1524581503#review
177	스타벅스 광주화정DT점	광주 서구 상무대로 1080	(지번) 화정동 769-1	3.1	https://place.map.kakao.com/351348253#review
178	스타벅스 대구월곡DT점	대구 달서구 월곡로 225	(지번) 상인동 620	0.0	https://place.map.kakao.com/52949794#review
179	스타벅스 광주운암DT	광주 북구 북문대로 78	(지번) 운암동 65-11	4.2	https://place.map.kakao.com/27077118#review
180	스타벅스 광주매곡DT점	광주 북구 설죽로 339	(지번) 매곡동 15	2.8	https://place.map.kakao.com/1346702204#review
181	스타벅스 광주흑석DT점	광주 광산구 사암로 367	(지번) 산정동 909-3	2.3	https://place.map.kakao.com/1161936444#review
182	스타벅스 광주신가DT점	광주 광산구 목련로 335	(지번) 신가동 706-1	4.0	https://place.map.kakao.com/26466535#review
183	스타벅스 광주금호DT점	광주 서구 운천로109번길 1	(지번) 쌍촌동 902-13	4.5	https://place.map.kakao.com/26805914#review
184	스타벅스 대구수성도서관DT점	대구 수성구 화랑로 112	(지번) 만촌동 1329-17	3.5	https://place.map.kakao.com/1038099490#review
185	스타벅스 광주주월DT점	광주 남구 회재로 1256	(지번) 주월동 960-13	3.5	https://place.map.kakao.com/1581919248#review
186	스타벅스 광주상무DT점	광주 서구 상무대로 847	(지번) 쌍촌동 973-9	4.2	https://place.map.kakao.com/1087793500#review
187	스타벅스 광주월산DT점	광주 남구 대남대로 386	(지번) 월산동 963-3	0.0	https://place.map.kakao.com/275035533#review
188	스타벅스 경주터미널DT	경북 경주시 태종로 686	(지번) 사정동 488-8	4.6	https://place.map.kakao.com/2122962692#review
189	스타벅스 경주보문호수DT점	경북 경주시 보문로 132-6 1~3층	(지번) 북군동 57-40	3.1	https://place.map.kakao.com/23082654#review
190	스타벅스 광주신안DT점	광주 북구 서암대로 93	(지번) 신안동 335-1	3.7	https://place.map.kakao.com/123618728#review
191	스타벅스 광주신세계DT점	광주 서구 죽봉대로 33	(지번) 화정동 177-2	3.6	https://place.map.kakao.com/1112546283#review
192	스타벅스 대구영대병원역DT점	대구 남구 봉덕로 25	(지번) 봉덕동 595-7	5.0	https://place.map.kakao.com/325920974#review
193	스타벅스 경주보문로DT점	경북 경주시 보문로 510-6	(지번) 신평동 719-220	2.6	https://place.map.kakao.com/18445186#review
194	스타벅스 국립대구박물관DT점	대구 수성구 청호로 318	(지번) 황금동 69-3	5.0	https://place.map.kakao.com/706641156#review
195	스타벅스 광주산정DT점	광주 광산구 용아로 342	(지번) 산정동 917-11	5.0	https://place.map.kakao.com/425114176#review
196	스타벅스 포항쌍용DT점	경북 포항시 남구 중흥로 122	(지번) 상도동 601	5.0	https://place.map.kakao.com/1561430244#review
197	스타벅스 광주지산DT점	광주 동구 필문대로 240	(지번) 동명동 12-3	0.0	https://place.map.kakao.com/1203516698#review
198	스타벅스 포항장성DT점	경북 포항시 북구 새천년대로 1255	(지번) 장성동 1577-8	4.5	https://place.map.kakao.com/776165811#review
199	스타벅스 광주운남DT점	광주 광산구 임방울대로 156	(지번) 운남동 414-31	4.0	https://place.map.kakao.com/465647758#review
200	스타벅스 광주효천DT점	광주 남구 임암길 232	(지번) 임암동 141-3	5.0	https://place.map.kakao.com/693953948#review
201	스타벅스 밀양DT점	경남 밀양시 밀양대로 1792	(지번) 삼문동 532-3	3.7	https://place.map.kakao.com/1554641970#review
202	스타벅스 광주연제DT	광주 북구 양일로18번길 2	(지번) 연제동 1088	5.0	https://place.map.kakao.com/1282470758#review
203	스타벅스 진주칠암DT	경남 진주시 진주대로829번길 2	(지번) 주약동 108-5	4.0	https://place.map.kakao.com/27237554#review
204	스타벅스 광주지원DT점	광주 동구 남문로 529	(지번) 용산동 168-1	5.0	https://place.map.kakao.com/599848259#review
